variable,max_lat,min_lat,max_lon,min_lon,start_datetime,end_datetime,temporal_resolution,spatial_resolution,temporal_aggregation,spatial_aggregation,min,max,file_size,file_path
surface_pressure,90,50,0,-80,2010-01-01T00:00,2014-12-31T23:00,month,1.0,min,max,62757.32,101823.12,0.39,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t2_s2_A_1736958866739_min_max.nc
surface_pressure,90,50,0,-80,2010-01-01T00:00,2014-12-31T23:00,month,0.5,max,mean,66589.25,106466.06,1.46,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t2_s1_A_1736958866739_max_mean.nc
surface_pressure,90,50,0,-80,2010-01-01T00:00,2014-12-31T23:00,month,0.5,max,min,66533.5,106449.06,1.25,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t2_s1_A_1736958866739_max_min.nc
surface_pressure,90,50,0,-80,2010-01-01T00:00,2014-12-31T23:00,month,0.5,max,max,66639.5,106640.06,1.24,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t2_s1_A_1736958866739_max_max.nc
surface_pressure,90,50,0,-80,2010-01-01T00:00,2014-12-31T23:00,month,1.0,max,mean,66671.62,106448.31,0.43,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t2_s2_A_1736958866739_max_mean.nc
surface_pressure,90,50,0,-80,2010-01-01T00:00,2014-12-31T23:00,month,1.0,max,min,66533.5,106443.06,0.36,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t2_s2_A_1736958866739_max_min.nc
surface_pressure,90,50,0,-80,2010-01-01T00:00,2014-12-31T23:00,month,1.0,max,max,66911.5,106640.06,0.35,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t2_s2_A_1736958866739_max_max.nc
surface_pressure,90,50,0,-80,2010-01-01T00:00,2014-12-31T23:00,year,0.5,mean,mean,66613.27,102102.84,0.16,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t3_s1_A_1736958866739_mean_mean.nc
surface_pressure,90,50,0,-80,2010-01-01T00:00,2014-12-31T23:00,year,0.5,mean,min,66560.53,102001.55,0.16,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t3_s1_A_1736958866739_mean_min.nc
surface_pressure,90,50,0,-80,2010-01-01T00:00,2014-12-31T23:00,year,0.5,mean,max,66661.66,102368.27,0.16,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t3_s1_A_1736958866739_mean_max.nc
