variable,max_lat,min_lat,max_lon,min_lon,start_datetime,end_datetime,temporal_resolution,spatial_resolution,temporal_aggregation,spatial_aggregation,min,max,file_size,file_path
sea_surface_temperature,90,60,180,-180,2024-01-01T00:00,2024-12-31T23:00,day,1.0,mean,max,269.94,300.44,2.86,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t1_s2_Y_1736975614487_mean_max.nc
sea_surface_temperature,90,60,180,-180,2024-01-01T00:00,2024-12-31T23:00,month,1.0,mean,min,270.48,296.27,0.13,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t2_s2_Y_1736975614487_mean_min.nc
sea_surface_temperature,90,60,180,-180,2024-01-01T00:00,2024-12-31T23:00,day,1.0,min,mean,269.94,298.7,2.79,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t1_s2_Y_1736975614487_min_mean.nc
sea_surface_temperature,90,60,180,-180,2024-01-01T00:00,2024-12-31T23:00,year,1.0,max,mean,271.46,302.59,0.04,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t3_s2_Y_1736975614487_max_mean.nc
sea_surface_temperature,90,60,180,-180,2024-01-01T00:00,2024-12-31T23:00,hour,0.5,none,max,269.5,302.59,64.73,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t0_s1_Y_1736975614487_max.nc
sea_surface_temperature,90,60,180,-180,2024-01-01T00:00,2024-12-31T23:00,month,0.5,min,min,269.5,292.11,0.3,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t2_s1_Y_1736975614487_min_min.nc
sea_surface_temperature,90,60,180,-180,2024-01-01T00:00,2024-12-31T23:00,year,0.25,mean,none,271.42,283.97,0.16,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t3_s0_Y_1736975614487_mean.nc
sea_surface_temperature,90,60,180,-180,2024-01-01T00:00,2024-12-31T23:00,hour,0.5,none,min,269.5,302.59,64.89,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t0_s1_Y_1736975614487_min.nc
sea_surface_temperature,90,60,180,-180,2024-01-01T00:00,2024-12-31T23:00,day,1.0,mean,min,269.5,300.19,2.71,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t1_s2_Y_1736975614487_mean_min.nc
sea_surface_temperature,90,60,180,-180,2024-01-01T00:00,2024-12-31T23:00,year,0.5,min,min,269.5,281.95,0.05,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t3_s1_Y_1736975614487_min_min.nc
sea_surface_temperature,90,50,10,-70,2020-01-01T00:00,2023-12-31T23:00,month,1.0,mean,max,270.28,294.72,0.23,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t2_s2_Y_1736979894617_mean_max.nc
sea_surface_temperature,90,50,10,-70,2020-01-01T00:00,2023-12-31T23:00,year,1.0,min,min,268.97,284.29,0.04,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t3_s2_Y_1736979894617_min_min.nc
sea_surface_temperature,90,50,10,-70,2020-01-01T00:00,2023-12-31T23:00,year,0.5,mean,max,271.4,287.31,0.09,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t3_s1_Y_1736979894617_mean_max.nc
sea_surface_temperature,90,50,10,-70,2020-01-01T00:00,2023-12-31T23:00,month,1.0,mean,mean,270.22,294.51,0.23,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t2_s2_Y_1736979894617_mean_mean.nc
sea_surface_temperature,90,50,10,-70,2020-01-01T00:00,2023-12-31T23:00,year,1.0,min,mean,269.09,284.77,0.04,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t3_s2_Y_1736979894617_min_mean.nc
sea_surface_temperature,90,50,10,-70,2020-01-01T00:00,2023-12-31T23:00,year,1.0,mean,min,271.4,287.06,0.04,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t3_s2_Y_1736979894617_mean_min.nc
sea_surface_temperature,90,50,10,-70,2020-01-01T00:00,2023-12-31T23:00,month,0.25,mean,none,270.15,294.72,2.63,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t2_s0_Y_1736979894617_mean.nc
sea_surface_temperature,90,50,10,-70,2020-01-01T00:00,2023-12-31T23:00,year,0.5,min,max,268.98,285.05,0.07,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t3_s1_Y_1736979894617_min_max.nc
sea_surface_temperature,90,50,10,-70,2020-01-01T00:00,2023-12-31T23:00,day,0.25,mean,none,269.02,298.05,76.26,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t1_s0_Y_1736979894617_mean.nc
sea_surface_temperature,90,50,10,-70,2020-01-01T00:00,2023-12-31T23:00,year,0.25,max,none,271.46,300.32,0.24,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t3_s0_Y_1736979894617_max.nc
sea_surface_temperature,90,50,10,-70,2020-01-01T00:00,2023-12-31T23:00,day,1.0,mean,max,269.4,298.05,5.83,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t1_s2_Y_1736979894617_mean_max.nc
sea_surface_temperature,90,50,10,-70,2020-01-01T00:00,2023-12-31T23:00,day,0.25,min,none,268.97,297.17,58.27,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t1_s0_Y_1736979894617_min.nc
sea_surface_temperature,90,50,10,-70,2020-01-01T00:00,2023-12-31T23:00,year,0.5,max,mean,271.46,297.68,0.09,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t3_s1_Y_1736979894617_max_mean.nc
sea_surface_temperature,90,50,10,-70,2020-01-01T00:00,2023-12-31T23:00,day,1.0,max,mean,269.29,297.68,5.68,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t1_s2_Y_1736979894617_max_mean.nc
sea_surface_temperature,90,50,10,-70,2020-01-01T00:00,2023-12-31T23:00,day,1.0,max,min,269.02,297.6,4.69,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t1_s2_Y_1736979894617_max_min.nc
sea_surface_temperature,90,50,10,-70,2020-01-01T00:00,2023-12-31T23:00,day,1.0,min,mean,269.09,296.76,5.65,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t1_s2_Y_1736979894617_min_mean.nc
